county,Individuals,Households
Anderson,11131,5372
Bedford,8416,3755
Benton,2869,1418
Bledsoe,2774,1432
Blount,12164,6217
Bradley,15112,7252
Campbell,9664,5411
Cannon,2087,1026
Carroll,4795,2309
Carter,8914,4390
Cheatham,3875,1752
Chester,2634,1221
Claiborne,6125,3195
Clay,1563,826
Cocke,9126,4861
Coffee,8864,4097
Crockett,2337,1142
Cumberland,8172,3949
Davidson,76307,34748
Decatur,2047,1057
DeKalb,3287,1644
Dickson,6745,3294
Dyer,7687,3753
Fayette,5294,2730
Fentress,4193,2290
Franklin,4609,2207
Gibson,8501,4132
Giles,4057,2043
Grainger,3681,1768
Greene,8944,4502
Grundy,3576,1842
Hamblen,9788,4686
Hamilton,45530,22637
Hancock,2315,1225
Hardeman,4844,2564
Hardin,4970,2597
Hawkins,9611,4662
Haywood,4433,2391
Henderson,5159,2563
Henry,5779,2841
Hickman,3927,1843
Houston,1343,626
Humphreys,2565,1193
Jackson,2046,1079
Jefferson,7054,3432
Johnson,3316,1782
Knox,48324,24316
Lake,1919,1046
Lauderdale,6138,3106
Lawrence,6278,2995
Lewis,1910,989
Lincoln,4942,2283
Loudon,4591,2208
Macon,4682,2174
Madison,16342,7981
Marion,5128,2502
Marshall,3932,1830
Maury,9859,4713
McMinn,2261,1109
McNairy,7346,3588
Meigs,23097,10050
Monroe,558,244
Montgomery,3543,1755
Moore,8444,4017
Morgan,4810,2575
Obion,5551,2744
Overton,3262,1661
Perry,1396,699
Pickett,826,427
Polk,2638,1248
Putnam,10348,5114
Rhea,6410,3072
Roane,7399,3610
Robertson,7829,3617
Rutherford,26094,11330
Scott,6016,3107
Sequatchie,2897,1423
Sevier,9889,4612
Shelby,198840,91114
Smith,2718,1277
Stewart,1800,805
Sullivan,22271,10983
Sumner,14951,6771
Tipton,9049,4281
Trousdale,1302,662
Unicoi,2853,1464
Union,3917,1779
Van Buren,980,479
Warren,7390,3530
Washington,15264,7927
Wayne,2318,1228
Weakley,5039,2571
White,4386,2097
Williamson,4216,1935
Wilson,9847,4647
