County,Census
Anderson,75129
Bedford,45058
Benton,16489
Bledsoe,12876
Blount,123010
Bradley,98963
Campbell,40716
Cannon,13801
Carroll,28522
Carter,57424
Cheatham,39105
Chester,17131
Claiborne,32213
Clay,7861
Cocke,35662
Coffee,52796
Crockett,14586
Cumberland,56053
Davidson,626681
Decatur,11757
DeKalb,18723
Dickson,49666
Dyer,38335
Fayette,38413
Fentress,17959
Franklin,41052
Gibson,49683
Giles,29485
Grainger,22657
Greene,68831
Grundy,13703
Hamblen,62544
Hamilton,336463
Hancock,6819
Hardeman,27253
Hardin,26026
Hawkins,56833
Haywood,18787
Henderson,27769
Henry,32330
Hickman,24690
Houston,8426
Humphreys,18538
Jackson,11638
Jefferson,51407
Johnson,18244
Knox,432226
Lake,7832
Lauderdale,27815
Lawrence,41869
Lewis,12161
Lincoln,33361
Loudon,48556
Macon,22248
Madison,98294
Marion,28237
Marshall,30617
Maury,80956
McMinn,52266
McNairy,26075
Meigs,11753
Monroe,44519
Montgomery,172331
Moore,6362
Morgan,21987
Obion,31807
Overton,22083
Perry,7915
Pickett,5077
Polk,16825
Putnam,72321
Rhea,31809
Roane,54181
Robertson,66283
Rutherford,262604
Scott,22228
Sequatchie,14112
Sevier,89889
Shelby,927644
Smith,19166
Stewart,13324
Sullivan,156823
Sumner,160645
Tipton,61081
Trousdale,7870
Unicoi,18313
Union,19109
Van Buren,5548
Warren,39839
Washington,122979
Wayne,17021
Weakley,35021
White,25841
Williamson,183182
Wilson,113993
