county,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
Anderson,566,698,855,1114,1405
Bedford,554,558,714,937,1161
Benton,457,530,619,853,915
Bledsoe,457,541,619,776,919
Blount,566,698,855,1114,1405
Bradley,513,604,799,1024,1233
Campbell,415,468,619,809,1052
Cannon,830,911,1103,1455,1738
Carroll,457,513,619,776,919
Carter,534,552,689,863,980
Cheatham,830,911,1103,1455,1738
Chester,498,634,775,1085,1172
Claiborne,457,487,619,776,979
Clay,457,481,619,870,919
Cocke,457,468,619,887,919
Coffee,502,515,681,919,994
Crockett,438,509,668,873,1146
Cumberland,484,487,644,866,898
Davidson,830,911,1103,1455,1738
Decatur,457,541,619,776,919
DeKalb,457,468,619,895,919
Dickson,830,911,1103,1455,1738
Dyer,473,485,642,928,971
Fayette,658,742,875,1194,1372
Fentress,457,541,619,830,1058
Franklin,457,468,619,895,1060
Gibson,457,542,620,846,1022
Giles,457,541,619,842,1027
Grainger,427,554,637,842,861
Greene,472,475,619,812,968
Grundy,457,496,619,866,919
Hamblen,515,544,720,970,973
Hamilton,585,694,847,1099,1344
Hancock,457,488,619,893,1087
Hardeman,457,468,619,845,926
Hardin,495,528,671,841,996
Hawkins,515,529,700,924,1015
Haywood,445,491,649,895,1019
Henderson,485,497,658,824,889
Henry,457,484,619,849,939
Hickman,594,701,803,1006,1410
Houston,457,541,619,776,859
Humphreys,474,530,643,838,979
Jackson,457,468,619,803,837
Jefferson,515,544,720,970,973
Johnson,457,541,619,776,919
Knox,566,698,855,1114,1405
Lake,457,518,619,825,837
Lauderdale,458,518,621,828,968
Lawrence,457,508,619,805,861
Lewis,463,488,628,826,972
Lincoln,465,488,630,848,852
Loudon,566,698,855,1114,1405
Macon,500,548,677,882,1062
Madison,498,634,775,1085,1172
Marion,585,694,847,1099,1344
Marshall,534,538,711,902,961
Maury,635,726,859,1242,1339
McMinn,457,541,619,807,842
McNairy,457,468,619,813,1087
Meigs,457,541,619,895,919
Monroe,406,517,623,901,968
Montgomery,563,689,867,1220,1404
Moore,457,481,619,889,919
Morgan,449,507,670,891,1166
Obion,439,499,619,841,1087
Overton,457,468,619,788,919
Perry,465,468,619,804,919
Pickett,457,481,619,776,919
Polk,513,604,799,1024,1233
Putnam,538,538,668,952,991
Rhea,498,507,648,840,981
Roane,515,581,769,963,1181
Robertson,830,911,1103,1455,1738
Rutherford,830,911,1103,1455,1738
Scott,457,468,619,855,921
Sequatchie,585,694,847,1099,1344
Sevier,616,625,724,1030,1130
Shelby,658,742,875,1194,1372
Smith,517,529,700,877,1125
Stewart,459,516,622,779,923
Sullivan,515,529,700,924,1015
Sumner,830,911,1103,1455,1738
Tipton,658,742,875,1194,1372
Trousdale,830,911,1103,1455,1738
Unicoi,534,552,689,863,980
Union,566,698,855,1114,1405
Van Buren,457,468,619,776,919
Warren,468,480,635,798,1073
Washington,534,552,689,863,980
Wayne,457,468,619,776,919
Weakley,427,487,619,814,971
White,457,481,619,834,837
Williamson,830,911,1103,1455,1738
Wilson,830,911,1103,1455,1738
